元宵集卡成功,MG一起走花路,节庆热点
初一集卡成功,MG一起走花路,节庆热点
初三集卡成功,MG一起走花路,节庆热点
初五集卡成功,MG一起走花路,节庆热点
初夕集卡成功,MG一起走花路,节庆热点
活动分享成功,MG一起走花路,节庆热点
除夕集卡成功,MG一起走花路,节庆热点
集卡完成,MG一起走花路,节庆热点
OOTD系列活动获赞前20,MG一起走花路,节庆热点
新年徽章设计1等奖,MG一起走花路,节庆热点
新年徽章设计2等奖,MG一起走花路,节庆热点
新年徽章设计3等奖,MG一起走花路,节庆热点
签到1天,MG一起走花路,节庆热点
签到3天,MG一起走花路,节庆热点
名爵积分抽奖赠送积分,名爵积分抽奖赠送积分,抽奖
推荐有礼,推荐有礼,推荐有礼
论坛四重礼一起瓜分200万积分奖励,论坛四重礼一起瓜分200万积分奖励,集点积分
上汽MG全国电竞邀请赛,上汽MG全国电竞邀请赛,电竞
2021售后冬季免检活动积分,冬季免检,车主售后
2021售后冬季免检活动积分发放,冬季免检,车主售后
冬季免检活动积分1-20,冬季免检,车主售后
冬季免检活动积分发放,冬季免检,车主售后
听说新年来“踩蛋”，Flag就不会倒哟！话题活动积分,听说新年来“踩蛋”，Flag就不会倒哟！话题活动积分,节庆热点
试驾活动积分,试驾活动积分,试驾
1月全国联动活动活动内促积分发放,1月全国联动活动活动内促积分发放,集点积分
2021售后冬季免检活动积分0203,冬季免检,车主售后
2021售后冬季免检活动积分0205,冬季免检,车主售后
2021售后冬季免检活动积分发放0209,冬季免检,车主售后
2021售后冬季免检活动积分发放（1.8-1.10批次未发2.9补发）,冬季免检,车主售后
一起走花路活动积分调整-0207,MG一起走花路,节庆热点
MG元宵猜灯谜话题活动,MG元宵猜灯谜话题活动,节庆热点
MG电竞之夜@了你话题活动积分奖励,MG电竞之夜@了你话题活动积分奖励,电竞
MG神装哪家强话题活动积分奖励,MG神装哪家强话题活动积分奖励,改装
晒晒你的车钥匙圈，赢惊喜好礼！话题活动积分,晒晒你的车钥匙圈，赢惊喜好礼！话题活动积分,车主故事
名爵售后抽奖活动,名爵售后抽奖活动,抽奖
First Blood那些事话题活动积分奖励,First Blood那些事话题活动积分奖励,社区评论活动
G速先享营活动积分,G速先享营活动积分,社区评论活动
上海车展你最想看的MG车型话题活动点赞前三积分奖励,上海车展你最想看的MG车型话题活动点赞前三积分奖励,车展相关
女王月活动积分,女王月活动积分,节庆热点
改装活动积分,改装活动积分,改装
电竞答题赛活动拉新积分,电竞答题赛活动拉新积分,电竞
车主活动日走查,车主活动日走查,车主故事
5月售后营销活动,5月售后营销活动,常规营销
5月营销活动,5月营销活动,常规营销
0506评论活动积分,0506评论活动积分,社区评论活动
Cyberster集赞赢好礼活动50赞,Cyberster集赞赢好礼活动50赞,Cyberster
Cyberster集赞赢好礼活动积分奖励,Cyberster集赞赢好礼活动积分奖励,Cyberster
“用自己的路子，跟世界过招”话题活动积分奖励,“用自己的路子，跟世界过招”话题活动积分奖励,集点积分
你有MG的这几年活动（第一轮）积分,你有MG的这几年活动（第一轮）积分,车主故事
你有MG的这几年活动（第二轮）积分奖励,你有MG的这几年活动（第二轮）积分奖励,车主故事
春田花花野餐会活动积分,春田花花野餐会活动积分,车主故事
车展门票限时秒 现场晒图赢积分话题活动积分奖励,车展门票限时秒 现场晒图赢积分话题活动积分奖励,车展相关
618活动兑换,618活动兑换,常规营销
父亲节活动｜致敬永远的大男孩,父亲节活动｜致敬永远的大男孩,节庆热点
车展门票限时秒 现场晒图赢积分话题活动积分补发,车展门票限时秒 现场晒图赢积分话题活动积分补发,车展相关
